lead,time_from_QRS_s,high_risk_median_mV,low_risk_median_mV,high_risk_mean_absolute_IG,high_risk_n,low_risk_n
V4,-0.26,0.005647321464493871,-0.017894414253532887,3.3730220830333e-05,507,1022
V4,-0.25,0.004783051204867661,-0.018668484408408403,3.197205993335255e-05,507,1022
V4,-0.24,0.004774410335812718,-0.018011929001659155,3.163551468856528e-05,507,1022
V4,-0.23,0.0012127015506848693,-0.01839351886883378,3.071194709169973e-05,507,1022
V4,-0.22,0.0021326637361198664,-0.017228555865585804,3.090240284233388e-05,507,1022
V4,-0.21,0.000688113272190094,-0.016717049991711974,3.074581748669027e-05,507,1022
V4,-0.2,-0.00030914004310034215,-0.0124150225892663,3.0315594053324622e-05,507,1022
V4,-0.19,0.001069502322934568,-0.008657532394863665,2.8198443999719508e-05,507,1022
V4,-0.18,0.002412645728327334,-0.00360493129119277,2.809962446750603e-05,507,1022
V4,-0.17,0.0030960329459048808,-0.0006376143574016169,2.6603871872791374e-05,507,1022
V4,-0.16,0.0016093399608507752,0.003019612282514572,2.5989263725194848e-05,507,1022
V4,-0.15,0.003068929072469473,0.0025350720970891416,2.4777494352675105e-05,507,1022
V4,-0.14,0.0002953704970423132,-0.0005995701649226248,2.3051574154837786e-05,507,1022
V4,-0.13,-0.0031823304016143084,-0.00716104288585484,2.1147678478378005e-05,507,1022
V4,-0.12,-0.006621110951527953,-0.016643573762848973,1.9434739596568658e-05,507,1022
V4,-0.11,-0.011128482408821583,-0.02578014903701842,1.7990163972926405e-05,507,1022
V4,-0.1,-0.01468217559158802,-0.034179006703197956,1.8090607218786813e-05,507,1022
V4,-0.09,-0.017471790313720703,-0.039475479163229465,2.0084313628836686e-05,507,1022
V4,-0.08,-0.017170843202620745,-0.043166857212781906,2.3186023299530468e-05,507,1022
V4,-0.07,-0.02140684984624386,-0.04800344817340374,2.9264845881171805e-05,507,1022
V4,-0.06,-0.023659924045205116,-0.046830933541059494,4.310785721206355e-05,507,1022
V4,-0.05,-0.017350413370877504,-0.043831114657223225,6.679378138806769e-05,507,1022
V4,-0.04,-0.00562272360548377,-0.041116997599601746,9.625402712947899e-05,507,1022
V4,-0.03,0.003532232134602964,-0.026975019834935665,0.00013321783439495028,507,1022
V4,-0.02,0.07498208433389664,0.14955197274684906,0.0002084925396447851,507,1022
V4,-0.01,0.12621192634105682,0.5114569067955017,0.0004123640567474797,507,1022
V4,0.0,-0.006401635706424713,0.664325550198555,0.0005516146355909982,507,1022
V4,0.01,-0.2532797157764435,-0.0236506350338459,0.0002696721350461996,507,1022
V4,0.02,-0.30629344284534454,-0.30589261651039124,0.00020398480998742006,507,1022
V4,0.03,-0.1680435612797737,-0.1840977557003498,0.00012073777625300894,507,1022
V4,0.04,-0.10099487751722336,-0.0914493091404438,6.246457678621733e-05,507,1022
V4,0.05,-0.06722244620323181,-0.05349412653595209,3.7440637308874233e-05,507,1022
V4,0.06,-0.05309363827109337,-0.044788346625864506,2.6109423670776298e-05,507,1022
V4,0.07,-0.03993767127394676,-0.033183081075549126,2.1410425207384385e-05,507,1022
V4,0.08,-0.03731362149119377,-0.029396777972579002,2.047667621342908e-05,507,1022
V4,0.09,-0.02838730625808239,-0.021666724234819412,2.1254653302172925e-05,507,1022
V4,0.1,-0.023149236105382442,-0.019279425032436848,2.0445655936326385e-05,507,1022
V4,0.11,-0.019098916091024876,-0.012421060353517532,2.1411493542700265e-05,507,1022
